Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var100              Pav100              7.36             7.20
Var1000             Pav1000             7.53             7.40
Var10000            Pav10000            7.57             7.60
Var10002            Pav10002            5.17             5.60
Var10004            Pav10004            5.19             5.40
Var10005            Pav10005            8.32             8.40
Var1001             Pav1001             8.09             8.20
Var10010            Pav10010            5.00             5.00
Var10011            Pav10011            7.97             8.00
Var10012            Pav10012            8.08             7.60
Var10013            Pav10013            6.55             6.60
Var10014            Pav10014            7.09             7.20
Var10016            Pav10016            7.19             7.00
Var10019            Pav10019            5.03             4.60
Var10020            Pav10020            6.75             6.40
Var10021            Pav10021            8.00             8.00
Var10024            Pav10024            7.53             7.40
Var10026            Pav10026            7.17             7.20
Var10027            Pav10027            6.84             7.00
Var10029            Pav10029            6.47             6.20
Var1003             Pav1003             8.48             8.40
Var10031            Pav10031            5.47             5.20
Var10035            Pav10035            6.39             6.20
Var10036            Pav10036            8.03             7.60
Var10038            Pav10038            6.81             7.00
Var10039            Pav10039            7.45             7.40
Var1004             Pav1004             8.16             8.00
Var10041            Pav10041            5.93             5.80
Var10044            Pav10044            6.96             7.60
Var10046            Pav10046            5.89             6.40
Var10047            Pav10047            5.68             6.00
Var10048            Pav10048            6.96             7.20
Var1005             Pav1005             6.24             6.00
Var10052            Pav10052            6.96             7.20
Var10053            Pav10053            8.27             8.40
Var10054            Pav10054            7.07             7.20
Var10056            Pav10056            5.08             5.00
Var10058            Pav10058            6.69             6.40
Var10059            Pav10059            5.55             5.20
Var10060            Pav10060            5.56             5.80
Var10061            Pav10061            5.29             5.40
Var10064            Pav10064            8.53             8.80
Var10069            Pav10069            5.72             6.20
Var1007             Pav1007             5.60             5.60
Var10070            Pav10070            7.88             7.80
Var10073            Pav10073            5.48             5.40
Var10074            Pav10074            6.99             7.20
Var10077            Pav10077            6.60             7.00
Var10078            Pav10078            8.40             8.40
Var1008             Pav1008             7.16             7.00
Var10083            Pav10083            8.24             8.00
Var10084            Pav10084            7.64             7.80
Var10085            Pav10085            6.80             6.80
Var10087            Pav10087            8.13             8.40
Var10089            Pav10089            8.03             7.60
Var1009             Pav1009             7.20             8.00
Var10090            Pav10090            6.00             6.00
Var10091            Pav10091            8.32             8.40
Var10094            Pav10094            5.31             4.80
Var10095            Pav10095            6.88             6.40
Var10096            Pav10096            7.07             7.60
Var101              Pav101              5.19             4.60
Var10100            Pav10100            5.27             5.40
Var10101            Pav10101            5.37             5.40
Var10102            Pav10102            7.92             7.60
Var10103            Pav10103            6.33             6.20
Var10104            Pav10104            8.19             8.40
Var10105            Pav10105            6.75             6.80
Var10106            Pav10106            6.25             6.20
Var10107            Pav10107            6.52             6.60
Var10108            Pav10108            5.27             5.40
Var10109            Pav10109            8.29             8.00
Var10111            Pav10111            7.49             7.60
Var10112            Pav10112            5.23             5.20
Var10113            Pav10113            6.56             6.40
Var10114            Pav10114            8.00             7.60
Var10115            Pav10115            5.95             5.60
Var10117            Pav10117            5.45             5.40
Var10119            Pav10119            8.29             8.40
Var1012             Pav1012             5.35             5.40
Var10120            Pav10120            6.64             6.00
Var10121            Pav10121            7.69             7.80
Var10123            Pav10123            6.99             7.20
Var10124            Pav10124            6.33             6.60
Var10125            Pav10125            6.84             7.00
Var10126            Pav10126            8.27             8.40
Var10128            Pav10128            7.32             7.40
Var1013             Pav1013             7.53             7.40
Var10131            Pav10131            6.65             6.60
Var10134            Pav10134            7.37             7.40
Var10135            Pav10135            5.79             5.60
Var10136            Pav10136            8.11             8.00
Var10137            Pav10137            7.79             7.60
Var10138            Pav10138            6.85             6.80
Var1014             Pav1014             8.48             8.00
Var10140            Pav10140            8.53             8.80
Var10141            Pav10141            7.83             7.80
Var10142            Pav10142            7.03             7.00
Var10144            Pav10144            8.11             8.00
Var10145            Pav10145            7.60             7.20
Var10146            Pav10146            5.60             5.60
Var10147            Pav10147            5.51             5.40
Var10148            Pav10148            6.89             7.00
Var10149            Pav10149            5.08             5.00
Var1015             Pav1015             6.88             7.20
Var10152            Pav10152            5.19             5.40
Var10154            Pav10154            5.75             5.40
Var10155            Pav10155            7.92             7.60
Var10157            Pav10157            8.35             8.00
Var10158            Pav10158            8.21             8.00
Var10161            Pav10161            7.24             7.40
Var10167            Pav10167            6.48             6.00
Var10168            Pav10168            7.28             7.60
Var1017             Pav1017             5.89             6.40
Var10170            Pav10170            7.12             6.80
Var10171            Pav10171            7.87             7.20
Var10172            Pav10172            6.88             6.80
Var10174            Pav10174            7.85             8.20
Var10175            Pav10175            6.07             5.80
Var10178            Pav10178            7.61             7.80
Var10179            Pav10179            5.89             5.60
Var10180            Pav10180            5.59             5.80
Var10182            Pav10182            6.55             6.60
Var10183            Pav10183            6.51             6.00
Var10184            Pav10184            6.40             6.00
Var10185            Pav10185            5.37             5.00
Var10189            Pav10189            6.77             6.40
