Vardas              Pavarde             Galutinis vid. / Galutinis med.
Var1                Pav1                4.21             4.40
Var10               Pav10               4.89             4.60
Var100000           Pav100000           2.73             2.60
Var10001            Pav10001            4.01             4.20
Var10003            Pav10003            4.32             4.80
Var10006            Pav10006            3.12             3.20
Var10007            Pav10007            2.73             2.20
Var10008            Pav10008            3.67             3.40
Var10009            Pav10009            4.43             4.00
Var10015            Pav10015            3.35             3.40
Var10017            Pav10017            3.51             3.00
Var10018            Pav10018            3.85             3.80
Var1002             Pav1002             4.01             3.80
Var10022            Pav10022            3.72             3.80
Var10023            Pav10023            4.93             4.80
Var10025            Pav10025            4.17             4.60
Var10028            Pav10028            3.28             3.60
Var10030            Pav10030            4.28             4.20
Var10032            Pav10032            3.04             2.80
Var10033            Pav10033            2.92             3.00
Var10034            Pav10034            2.92             3.00
Var10037            Pav10037            3.05             3.40
Var10040            Pav10040            4.53             4.40
Var10042            Pav10042            3.77             3.40
Var10043            Pav10043            3.99             4.20
Var10045            Pav10045            2.44             2.20
Var10049            Pav10049            3.51             3.40
Var10050            Pav10050            3.91             3.40
Var10051            Pav10051            3.28             3.20
Var10055            Pav10055            2.91             2.80
Var10057            Pav10057            3.73             4.00
Var1006             Pav1006             3.33             3.20
Var10062            Pav10062            4.77             5.20
Var10063            Pav10063            2.57             2.20
Var10065            Pav10065            4.37             4.40
Var10066            Pav10066            3.64             3.40
Var10067            Pav10067            2.81             2.60
Var10068            Pav10068            3.08             3.00
Var10071            Pav10071            4.89             4.20
Var10072            Pav10072            4.55             4.60
Var10075            Pav10075            3.67             3.80
Var10076            Pav10076            3.36             3.60
Var10079            Pav10079            2.95             3.80
Var10080            Pav10080            2.79             2.60
Var10081            Pav10081            4.72             4.40
Var10082            Pav10082            4.45             4.40
Var10086            Pav10086            4.15             3.80
Var10088            Pav10088            3.43             3.40
Var10092            Pav10092            4.72             4.80
Var10093            Pav10093            3.81             4.00
Var10097            Pav10097            4.60             4.20
Var10098            Pav10098            4.59             4.00
Var10099            Pav10099            3.80             3.80
Var1010             Pav1010             4.85             5.20
Var1011             Pav1011             4.91             4.80
Var10110            Pav10110            4.91             4.80
Var10116            Pav10116            4.48             4.40
Var10118            Pav10118            2.97             3.00
Var10122            Pav10122            4.31             4.60
Var10127            Pav10127            4.48             4.40
Var10129            Pav10129            4.27             4.00
Var10130            Pav10130            3.85             4.20
Var10132            Pav10132            2.92             3.00
Var10133            Pav10133            4.33             4.60
Var10139            Pav10139            3.39             3.60
Var10143            Pav10143            4.15             4.20
Var10150            Pav10150            2.84             3.00
Var10151            Pav10151            4.27             3.60
Var10153            Pav10153            4.05             4.40
Var10156            Pav10156            3.13             3.40
Var10159            Pav10159            3.47             3.20
Var1016             Pav1016             2.96             2.80
Var10160            Pav10160            3.75             3.80
Var10162            Pav10162            3.61             3.00
Var10163            Pav10163            4.31             4.20
Var10164            Pav10164            3.73             4.00
Var10165            Pav10165            3.45             3.40
Var10166            Pav10166            3.96             4.20
Var10169            Pav10169            4.01             4.20
Var10173            Pav10173            4.48             4.40
Var10176            Pav10176            4.96             5.20
Var10177            Pav10177            2.04             1.40
Var1018             Pav1018             4.67             4.80
Var10181            Pav10181            2.25             1.80
Var10186            Pav10186            4.87             5.00
Var10187            Pav10187            2.36             2.20
Var10188            Pav10188            4.77             5.20
Var1019             Pav1019             3.31             3.20
Var10191            Pav10191            3.28             3.20
Var10192            Pav10192            4.59             4.40
Var10196            Pav10196            3.33             3.60
Var102              Pav102              2.49             2.20
Var10206            Pav10206            3.11             3.00
Var10216            Pav10216            4.89             4.60
Var10218            Pav10218            4.81             5.00
Var10219            Pav10219            3.24             3.80
Var1022             Pav1022             3.23             2.80
Var10220            Pav10220            2.65             3.00
Var10222            Pav10222            4.40             4.80
Var10223            Pav10223            4.15             4.20
Var10224            Pav10224            3.08             3.00
Var10226            Pav10226            2.97             3.40
Var10230            Pav10230            4.01             4.20
Var10231            Pav10231            4.07             4.20
Var10235            Pav10235            4.27             4.40
Var10236            Pav10236            3.43             3.80
Var10237            Pav10237            4.77             4.80
Var1024             Pav1024             3.27             3.80
Var10240            Pav10240            4.67             4.80
Var10245            Pav10245            4.28             4.60
Var10247            Pav10247            4.33             4.60
Var10248            Pav10248            4.88             5.20
